AS_Schulf;AS_Sf2;AS_Text;Flag;geaendert
"AG";"AG";"Abendgymnasium";"1";
"AG";"AR";"Abendrealschule";"1";
"AG";"KL";"Kolleg";"1";
"AR";"AG";"Abendgymnasium";"1";
"AR";"AR";"Abendrealschule";"1";
"AR";"FO";"Fachoberschule für Wirtschaft oder Technik";"1";
"AR";"KL";"Kolleg";"1";
"FW";"A";"Allgemeinbildender Bereich";"1";
"FW";"B";"Berufsbildender Bereich";"1";
"FW";"S";"Sonderschulbereich";"1";
"KL";"AG";"Abendgymnasium";"1";
"KL";"AR";"Abendrealschule";"1";
"KL";"KL";"Kolleg";"1";
"S";"BL";"Schule für Blinde";"1";
"S";"EZ";"Schule für Erziehungshilfe";"1";
"S";"GB";"Schule für Geistigbehinderte";"1";
"S";"GH";"Schule für Gehörlose";"1";
"S";"KB";"Schule für Körperbehinderte";"1";
"S";"KR";"Schule für Kranke";"1";
"S";"LB";"Schule für Lernbehinderte";"1";
"S";"RB";"Aufbaurealschule für Blinde";"1";
"S";"RS";"Aufbaurealschule für Sehbehinderte";"1";
"S";"SB";"Schule für Sprachbehinderte";"1";
"S";"SG";"Schule für Schwerhörige";"1";
"S";"SH";"Schule für Sehbehinderte";"1";
"SG";"**";"Gymnasium";"1";
"SG";"KB";"Körperbehinderte";"1";
"SR";"HG";"Hörgeschädigte";"1";
