SF;RPG;Beschreibung;geaendert
"FW";null;"ohne";
"G";null;"ohne";
"G";"C";"Célestin Freinet";
"G";"J";"Janusz Korczak (Pädagogik der Achtung)";
"G";"M";"Montessori";
"G";"P";"Peter Petersen/Jena-Plan";
"G";"S";"sonstige";
"GE";null;"ohne";
"GE";"J";"Janusz Korczak (Pädagogik der Achtung)";
"GE";"M";"Montessori";
"GE";"S";"sonstige";
"GY";null;"ohne";
"GY";"C";"Célestin Freinet";
"GY";"J";"Janusz Korczak (Pädagogik der Achtung)";
"GY";"M";"Montessori";
"GY";"P";"Peter Petersen/Jena-Plan";
"GY";"S";"sonstige";
"H";null;"ohne";
"H";"J";"Janusz Korczak (Pädagogik der Achtung)";
"H";"M";"Montessori";
"H";"S";"sonstige";
"PS";null;"ohne";
"PS";"C";"Célestin Freinet";
"PS";"J";"Janusz Korczak (Pädagogik der Achtung)";
"PS";"M";"Montessori";
"PS";"P";"Peter Petersen/Jena-Plan";
"PS";"S";"sonstige";
"R";null;"ohne";
"R";"J";"Janusz Korczak (Pädagogik der Achtung)";
"R";"M";"Montessori";
"R";"S";"sonstige";
"S";null;"ohne";
"S";"J";"Janusz Korczak (Pädagogik der Achtung)";
"S";"M";"Montessori";
"S";"P";"Peter Petersen/Jena-Plan";
"S";"S";"sonstige";
"SG";null;"ohne";
"SG";"J";"Janusz Korczak (Pädagogik der Achtung)";
"SG";"M";"Montessori";
"SG";"P";"Peter Petersen/Jena-Plan";
"SG";"S";"sonstige";
"SK";null;"ohne";
"SK";"J";"Janusz Korczak (Pädagogik der Achtung)";
"SK";"M";"Montessori";
"SK";"S";"sonstige";
"SR";null;"ohne";
"SR";"J";"Janusz Korczak (Pädagogik der Achtung)";
"SR";"M";"Montessori";
"SR";"P";"Peter Petersen/Jena-Plan";
"SR";"S";"sonstige";
"V";null;"ohne";
"V";"J";"Janusz Korczak (Pädagogik der Achtung)";
"V";"M";"Montessori";
"V";"S";"sonstige";
"WB";null;null;
