SF;JG_Bereich;Jahrgang;geaendert
"AG";1;"01";
"AG";1;"02";
"AG";1;"03";
"AG";1;"04";
"AG";1;"05";
"AG";1;"06";
"AG";1;"14";
"AG";1;"91";
"AG";1;"92";
"AG";2;"01";
"AG";2;"02";
"AG";2;"03";
"AG";2;"04";
"AG";2;"91";
"AG";3;"01";
"AG";3;"02";
"AG";4;"03";
"AG";4;"04";
"AG";4;"05";
"AG";4;"06";
"AG";4;"14";
"AG";5;"03";
"AG";5;"04";
"AG";5;"14";
"AG";6;"01";
"AG";6;"02";
"AG";6;"03";
"AG";6;"04";
"AG";6;"05";
"AG";6;"06";
"AG";6;"14";
"AG";6;"91";
"AG";6;"92";
"AR";1;"01";
"AR";1;"02";
"AR";1;"03";
"AR";1;"04";
"AR";1;"05";
"AR";1;"06";
"AR";1;"91";
"AR";1;"92";
"AR";2;"01";
"AR";2;"02";
"AR";2;"03";
"AR";2;"04";
"AR";2;"91";
"AR";3;"01";
"AR";3;"02";
"AR";4;"03";
"AR";4;"04";
"AR";4;"05";
"AR";4;"06";
"G";1;"00";
"G";1;"01";
"G";1;"02";
"G";1;"03";
"G";1;"04";
"G";2;"01";
"G";2;"02";
"G";2;"03";
"G";2;"04";
"G";3;"98";
"GE";1;"05";
"GE";1;"06";
"GE";1;"07";
"GE";1;"08";
"GE";1;"09";
"GE";1;"10";
"GE";2;"06";
"GE";2;"07";
"GE";2;"08";
"GE";2;"09";
"GE";2;"10";
"GE";3;"07";
"GE";3;"08";
"GE";3;"09";
"GE";3;"10";
"GE";4;"09";
"GE";4;"10";
"GE";5;"11";
"GE";6;"12";
"GE";6;"13";
"GE";7;"11";
"GE";7;"12";
"GE";7;"13";
"GE";8;"98";
"GE";9;"05";
"GE";9;"06";
"GE";9;"07";
"GE";9;"08";
"GE";9;"09";
"GE";9;"10";
"GE";9;"11";
"GE";9;"12";
"GE";9;"13";
"GE";10;"11";
"GE";10;"12";
"GE";10;"13";
"GY";1;"05";
"GY";1;"06";
"GY";1;"07";
"GY";1;"08";
"GY";1;"09";
"GY";1;"10";
"GY";2;"11";
"GY";3;"05";
"GY";3;"06";
"GY";4;"07";
"GY";4;"08";
"GY";4;"09";
"GY";4;"10";
"GY";5;"09";
"GY";5;"10";
"GY";6;"11";
"GY";6;"12";
"GY";6;"13";
"GY";7;"12";
"GY";7;"13";
"GY";8;"98";
"GY";9;"05";
"GY";9;"06";
"GY";9;"07";
"GY";9;"08";
"GY";9;"09";
"GY";9;"10";
"GY";9;"11";
"GY";9;"12";
"GY";9;"13";
"GY";10;"05";
"GY";10;"06";
"GY";10;"07";
"GY";10;"08";
"GY";10;"09";
"GY";10;"10";
"GY";10;"11";
"GY";10;"12";
"GY";10;"13";
"GY";10;"14";
"GY";11;"11";
"GY";11;"12";
"GY";11;"13";
"GY";11;"14";
"GY";12;"12";
"GY";12;"13";
"GY";12;"14";
"GY";13;"11";
"H";1;"05";
"H";1;"06";
"H";1;"07";
"H";1;"08";
"H";1;"09";
"H";1;"10";
"H";2;"07";
"H";2;"08";
"H";2;"09";
"H";3;"09";
"H";3;"10";
"H";4;"07";
"H";4;"08";
"H";4;"09";
"H";4;"10";
"H";5;"98";
"KL";1;"01";
"KL";1;"02";
"KL";1;"03";
"KL";1;"04";
"KL";1;"05";
"KL";1;"06";
"KL";1;"91";
"KL";1;"92";
"KL";2;"01";
"KL";2;"02";
"KL";2;"03";
"KL";2;"04";
"KL";2;"91";
"KL";3;"01";
"KL";3;"02";
"KL";4;"03";
"KL";4;"04";
"KL";4;"05";
"KL";4;"06";
"KL";5;"03";
"KL";5;"04";
"KL";5;"05";
"KL";5;"06";
"KL";5;"14";
"KL";6;"01";
"KL";6;"02";
"KL";6;"03";
"KL";6;"04";
"KL";6;"05";
"KL";6;"06";
"KL";6;"14";
"KL";6;"91";
"KL";6;"92";
"R";1;"05";
"R";1;"06";
"R";1;"07";
"R";1;"08";
"R";1;"09";
"R";1;"10";
"R";2;"05";
"R";2;"06";
"R";3;"07";
"R";3;"08";
"R";4;"09";
"R";4;"10";
"R";5;"98";
"S";1;"01";
"S";1;"02";
"S";1;"03";
"S";1;"04";
"S";1;"05";
"S";1;"06";
"S";1;"07";
"S";1;"08";
"S";1;"09";
"S";1;"10";
"S";2;"07";
"S";2;"08";
"S";2;"09";
"S";3;"09";
"S";3;"10";
"S";4;"07";
"S";4;"08";
"S";4;"09";
"S";4;"10";
"S";5;"05";
"S";5;"06";
"S";5;"07";
"S";5;"08";
"S";5;"09";
"S";5;"10";
"S";6;"98";
"S";7;"01";
"S";7;"02";
"S";7;"03";
"S";7;"04";
"S";7;"05";
"S";7;"06";
"S";7;"07";
"S";7;"08";
"S";7;"09";
"S";7;"10";
"S";7;"81";
"S";7;"82";
"S";7;"83";
"S";7;"84";
"S";7;"85";
"S";7;"86";
"V";1;"00";
"V";1;"01";
"V";1;"02";
"V";1;"03";
"V";1;"04";
"V";1;"05";
"V";1;"06";
"V";1;"07";
"V";1;"08";
"V";1;"09";
"V";1;"10";
"V";2;"07";
"V";2;"08";
"V";2;"09";
"V";3;"07";
"V";3;"08";
"V";3;"09";
"V";3;"10";
"V";4;"09";
"V";4;"10";
"V";5;"01";
"V";5;"02";
"V";5;"03";
"V";5;"04";
"V";5;"05";
"V";5;"06";
"V";5;"07";
"V";5;"08";
"V";5;"09";
"V";5;"10";
"V";6;"05";
"V";6;"06";
"V";6;"07";
"V";6;"08";
"V";6;"09";
"V";6;"10";
"V";7;"98";
