ID;SF;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;null;"H";"Hauptschule";1900-01-01T00:00;null;100;
6;null;"S";"Förderschule / Schule für Kranke";1900-01-01T00:00;null;200;
2;null;"R";"Realschule";1900-01-01T00:00;null;300;
7;null;"SK";"Sekundarschule";null;null;400;
4;null;"Ge";"Gesamtschule";1900-01-01T00:00;null;500;
8;null;"GM";"Gemeinschaftsschule";null;null;600;
3;null;"Gy";"Gymnasium";1900-01-01T00:00;null;700;
9;null;"PS";"Schulversuch Primus";null;null;700;
5;null;"FW";"Freie Waldorfschule / Hiberniaschule";1900-01-01T00:00;null;800;
