KlArt;FSP;Bezeichnung;Schulform;geaendert
"RK";"**";"Regelklasse";"FW";
"RK";"EZ";"Regelklasse";"FW";
"RK";"GB";"Regelklasse";"FW";
"RK";"KR";"Regelklasse";"FW";
"RK";"LB";"Regelklasse";"FW";
"RK";"**";"Regelklasse";"G";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"G";
"RK";"**";"Regelklasse";"GE";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"GE";
"1A";"**";"Klasse 10 Typ A (nur Bildungsgang Hauptschule)";"GM";
"1B";"**";"Klasse 10 Typ B (nur Bildungsgang Hauptschule)";"GM";
"AB";"**";"Klassen im Jahrgang 10 ohne Differenzierung in Typ A und Typ B (nur Bildungsgang Hauptschule)";"GM";
"RK";"**";"Regelklasse";"GM";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"GM";
"RK";"**";"Regelklasse";"GY";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"GY";
"1A";"**";"Klasse 10 Typ A";"H";
"1B";"**";"Klasse 10 Typ B";"H";
"AB";"**";"Klassen im Jahrgang 10 ohne Differenzierung in Typ A und Typ B";"H";
"RK";"**";"Regelklasse";"H";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"H";
"RK";"**";"Regelklasse";"PS";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"PS";
"1A";"**";"Klasse 10 Typ A (nur Hauptschulbildungsgang)";"R";
"1B";"**";"Klasse 10 Typ B (nur Hauptschulbildungsgang)";"R";
"AB";"**";"Klassen im Jahrgang 10 ohne Differenzierung in Typ A und Typ B (nur Bildungsgang Hauptschule)";"R";
"RK";"**";"Regelklasse";"R";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"R";
"AM";"**";"Frühförderung: SKG (Ambulante Maßnahmen für blinde, gehörlose, sehbeh. und schwerh. Kinder)";"S";
"PG";"**";"Frühförderung: SKG (Präsenzgruppe)";"S";
"RK";"**";"Regelklasse";"S";
"RK";"**";"Regelklasse  (-Jahrgang SII)";"SG";
"1A";"**";"Klasse 10 Typ A (nur Bildungsgang Hauptschule)";"SK";
"1B";"**";"Klasse 10 Typ B (nur Bildungsgang Hauptschule)";"SK";
"AB";"**";"Klassen im Jahrgang 10 ohne Differenzierung in Typ A und Typ B (nur Bildungsgang Hauptschule)";"SK";
"RK";"**";"Regelklasse";"SK";
"SG";"**";"Deutschförderklasse (gemäß BASS 13-63 Nr. 3, Nummer 3.5.1)";"SK";
"RK";"**";"Regelklasse";"SR";
"1A";"**";"Klasse 10 Typ A";"V";
"1B";"**";"Klasse 10 Typ B";"V";
"AB";"**";"Klassen im Jahrgang 10 ohne Differenzierung in Typ A und Typ B";"V";
"RK";"**";"Regelklasse";"V";
"SG";"**";"Sprachförderklasse (gemäß Erlass 13-63 Nr. 3, Absatz 2.3)";"V";
"**";"**";"Ohne Eintrag";"WB";
