Schulform;Qualifikation;Klartext;mm;geaendert
"BK";"*";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"BK";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"BK";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"BK";"9";"sonstige";0;
"G";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";null;
"G";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"G";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";1;
"G";"9";"sonstige";0;
"GE";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"GE";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"GE";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"GE";"9";"sonstige";0;
"GM";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"GM";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"GM";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"GM";"9";"sonstige";0;
"GY";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"GY";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"GY";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"GY";"9";"sonstige";0;
"H";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"H";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"H";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"H";"9";"sonstige";0;
"PS";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"PS";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"PS";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"PS";"9";"sonstige";0;
"R";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"R";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"R";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"R";"9";"sonstige";0;
"S";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"S";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"S";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"S";"9";"sonstige";0;
"SB";"*";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"SB";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"SB";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"SB";"9";"sonstige";0;
"SG";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"SG";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"SG";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"SG";"9";"sonstige";0;
"SK";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"SK";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"SK";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"SK";"9";"sonstige";0;
"SR";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"SR";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"SR";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"SR";"9";"sonstige";0;
"V";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"V";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"V";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"V";"9";"sonstige";0;
"WB";"1";"erworben durch LABG/OVP bzw. Laufbahnverordnung";0;
"WB";"2";"Unterrichtserlaubnis (z.B. Zertifikatskurs)";0;
"WB";"3";"mehrjähriger Unterricht ohne Lehramtsprüfung oder Unterrichtserlaubnis";0;
"WB";"9";"sonstige";0;
